nquest,cliente,loja,a2,a3,c1a,c1b,c1c,c1d,c1e,c1f,c1g,c1h,c1i,c1j,c1k,c1l,c1m,c1n,c1o,c1p,c1q,c1r,c1s,c1t,c1u,c1v,c1w,c1x,c1_glo,c2a,c2b,c2c,c2d,c2e,c2f,c2_glo
1.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,6.0,7.0,7.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,5.0,2.0,1.0,4.0,6.0,4.0,4.0,6.0,1.0,5.0,5.0,5.0,4.0,6.0,4.0,6.0,6.0,6.0
2.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todos os meses,5.0,5.0,6.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0
3.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Raramente,6.0,7.0,6.0,6.0,3.0,4.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,6.0,4.0,6.0,3.0,6.0,6.0,6.0
4.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todos os meses,5.0,7.0,7.0,5.0,6.0,6.0,3.0,3.0,2.0,5.0,4.0,2.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0,4.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,1.0,5.0,3.0,3.0,3.0
5.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,,2.0,5.0,5.0,4.0,3.0,4.0,2.0,1.0,4.0,,5.0,6.0,5.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0
6.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todos os meses,4.0,7.0,7.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,,,4.0,,6.0,1.0,3.0,4.0,2.0,6.0,6.0,6.0,4.0,5.0,5.0,1.0,,4.0,5.0,1.0,3.0,3.0
7.0,Retalho alimentar,Lisboa,Ambos,Todos os dias,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,2.0,4.0,6.0,4.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
8.0,Retalho não-alimentar,Lisboa,Ambos,Todas as semanas,7.0,7.0,7.0,3.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,7.0,3.0,6.0,5.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
9.0,Outros,Lisboa,Ambos,Todos os meses,7.0,7.0,7.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,6.0,3.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
10.0,Retalho não-alimentar,Lisboa,Ambos,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
11.0,Outros,Lisboa,Ambos,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
12.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todos os meses,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
13.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
14.0,Outros,Lisboa,Ambos,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,Retalho não-alimentar,Lisboa,Ambos,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
16.0,Outros,Lisboa,Ambos,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
17.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,3.0,3.0,1.0,3.0,5.0,1.0,3.0
18.0,Outros,Lisboa,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
19.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todos os dias,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0
20.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Raramente,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
21.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
22.0,Outros,Lisboa,Ambos,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
23.0,Outros,Lisboa,Ambos,Todas as semanas,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,2.0,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0
24.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todos os meses,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,4.0,6.0,3.0,6.0,,2.0,6.0,6.0,,6.0,7.0,2.0,7.0,7.0,7.0,7.0,6.0
25.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
26.0,Outros,Lisboa,Ambos,Todos os meses,6.0,6.0,7.0,7.0,7.0,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,2.0,,,7.0,,7.0,7.0,7.0,7.0,
27.0,Outros,Lisboa,Ambos,Todos os meses,4.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,,5.0,,5.0,2.0,2.0,3.0,,4.0,,4.0,4.0,,2.0,,2.0,5.0,4.0,4.0,
28.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,7.0,7.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,3.0,3.0,4.0,5.0,4.0,4.0,
29.0,Outros,Lisboa,Ambos,Raramente,4.0,6.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0
30.0,Outros,Lisboa,Ambos,Todas as semanas,4.0,4.0,6.0,4.0,4.0,6.0,6.0,3.0,,2.0,,2.0,,2.0,,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,4.0,7.0,6.0,5.0,5.0,5.0,3.0,5.0,4.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,2.0,2.0,6.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
32.0,Outros,Lisboa,Ambos,Raramente,3.0,7.0,7.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,6.0,3.0,3.0,3.0,,3.0,5.0,1.0,7.0,4.0,1.0,,5.0,5.0,5.0,5.0,5.0
33.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,6.0,6.0,6.0,6.0,,3.0,2.0,3.0,5.0,4.0,6.0,6.0,2.0,6.0,6.0,4.0,2.0,6.0,6.0,5.0,5.0,5.0,2.0,3.0,6.0,6.0,3.0,5.0,5.0,5.0,5.0,5.0
